Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
7367,-0.94,2.62,-0.06,-0.12,0.25,0.00,0.01,0.01,-0.26,0.00,0.00,0.52
7379,-0.94,2.62,-0.06,0.06,0.19,-0.12,0.01,0.01,-0.26,0.00,0.00,0.53
7427,-0.94,2.62,-0.06,0.06,0.25,-0.06,0.01,0.03,-0.24,0.00,0.00,0.52
7437,-0.94,2.62,-0.06,-0.06,-0.19,0.06,0.01,0.03,-0.24,0.00,0.00,0.54
7447,-0.94,2.62,-0.06,0.00,-0.06,0.06,0.00,0.01,-0.24,0.00,0.00,0.52
7459,-0.94,2.62,-0.06,0.00,0.00,-0.06,0.02,0.02,-0.26,0.00,0.00,0.52
7467,-0.94,2.62,-0.06,-0.12,-0.19,-0.06,0.01,0.03,-0.25,0.00,0.00,0.52
7477,-0.94,2.62,-0.06,-0.12,-0.19,-0.06,0.01,0.00,-0.27,0.00,0.00,0.53
7486,-0.94,2.62,-0.06,0.06,-0.25,0.00,0.00,0.01,-0.24,0.00,0.00,0.54
7496,-0.94,2.62,-0.06,-0.06,-0.12,0.12,0.00,0.01,-0.24,0.00,0.00,0.51
7506,-0.94,2.62,-0.06,0.06,0.06,-0.06,0.00,0.02,-0.23,0.00,0.00,0.53
7518,-0.94,2.62,-0.06,-0.06,-0.38,0.12,0.00,0.03,-0.27,0.00,0.00,0.52
7527,-0.94,2.62,-0.06,0.06,-0.19,-0.06,0.01,0.03,-0.26,0.00,0.00,0.53
7537,-0.94,2.62,-0.06,-0.25,-0.31,0.12,0.01,0.03,-0.26,0.00,0.00,0.54
7546,-0.94,2.62,-0.06,0.06,-0.38,0.06,0.00,0.01,-0.24,0.00,0.00,0.55
7556,-0.94,2.62,-0.06,-0.06,-0.12,0.06,0.00,0.03,-0.27,0.00,0.00,0.54
7589,-0.94,2.62,-0.06,0.31,0.25,-0.06,0.00,0.01,-0.26,0.00,0.00,0.54
7597,-0.94,2.62,-0.06,0.00,0.06,0.19,0.01,0.03,-0.22,0.00,0.00,0.54
7608,-0.94,2.62,-0.06,0.00,0.06,0.19,0.00,0.02,-0.26,0.00,0.00,0.54
7617,-0.94,2.62,-0.06,0.00,-0.06,0.00,0.00,0.02,-0.24,0.00,0.00,0.53
7628,-0.94,2.62,-0.06,0.06,0.06,0.06,0.00,0.02,-0.23,0.00,0.00,0.55
7636,-0.94,2.62,-0.06,0.19,-0.12,0.06,0.00,0.01,-0.22,0.00,0.00,0.53
7648,-0.94,2.62,-0.06,0.06,-0.31,-0.06,-0.02,0.03,-0.23,0.00,0.00,0.53
7656,-0.94,2.62,-0.06,0.00,-0.19,0.00,0.00,0.04,-0.26,0.00,0.00,0.54
7666,-0.94,2.62,-0.06,0.19,-0.12,-0.06,0.00,0.01,-0.25,0.00,0.00,0.54
7676,-0.94,2.62,-0.06,0.06,0.00,0.06,0.00,0.05,-0.24,0.00,0.00,0.52
