Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
5997,-4.19,91.44,-1.12,-0.38,-3.81,-5.50,-0.02,-0.09,-0.07,0.00,0.00,1.09
6007,-4.12,91.44,-1.06,-0.50,-3.94,-5.56,0.00,-0.14,-0.09,0.00,0.00,1.20
6017,-4.06,91.44,-1.06,-0.50,-3.69,-5.50,0.04,-0.15,-0.08,0.00,0.00,1.19
6028,-4.00,91.44,-1.06,-0.38,-3.62,-5.19,0.09,-0.17,-0.08,0.00,0.00,1.26
6040,-3.94,91.44,-1.06,-0.31,-3.69,-4.62,0.10,-0.18,-0.06,0.00,0.00,1.24
6050,-3.94,91.44,-1.06,-0.38,-3.75,-3.94,0.11,-0.14,-0.08,0.00,0.00,1.19
6067,-3.88,91.44,-1.06,-0.31,-3.81,-3.12,0.13,-0.13,-0.09,0.00,0.00,1.20
6079,-3.81,91.44,-1.06,-0.38,-3.69,-1.25,0.17,-0.12,-0.11,0.00,0.00,1.26
6090,-3.81,91.44,-1.12,-0.44,-3.62,-0.31,0.16,-0.12,-0.11,0.00,0.00,1.18
6102,-3.81,91.44,-1.12,-0.25,-3.62,0.81,0.16,-0.13,-0.11,0.00,0.00,1.26
6115,-3.88,91.44,-1.19,-0.31,-3.50,1.88,0.15,-0.12,-0.08,0.00,0.00,1.25
6128,-3.88,91.44,-1.25,-0.25,-3.44,3.75,0.13,-0.12,-0.11,0.00,0.00,1.28
6138,-3.94,91.44,-1.38,-0.25,-3.44,4.62,0.08,-0.14,-0.09,0.00,0.00,1.27
6255,-4.56,91.44,-2.31,-0.19,-2.50,3.25,-0.11,-0.11,-0.04,0.00,0.00,1.27
6267,-4.56,91.44,-2.31,-0.12,-2.38,2.44,-0.12,-0.12,-0.09,0.00,0.00,1.25
6278,-4.56,91.44,-2.38,-0.25,-2.06,0.38,-0.13,-0.10,-0.07,0.00,0.00,1.23
6288,-4.56,91.44,-2.44,-0.19,-1.94,-0.44,-0.12,-0.11,-0.07,0.00,0.00,1.22
6299,-4.56,91.44,-2.44,-0.19,-1.81,-1.38,-0.05,-0.13,-0.04,0.00,0.00,1.29
6311,-4.56,91.44,-2.44,-0.25,-1.69,-2.00,-0.07,-0.12,-0.04,0.00,0.00,1.20
6323,-4.50,91.44,-2.44,-0.25,-1.75,-2.88,-0.02,-0.14,-0.08,0.00,0.00,1.26
6339,-4.50,91.44,-2.38,-0.12,-1.31,-3.31,-0.02,-0.15,-0.05,0.00,0.00,1.31
6350,-4.44,91.44,-2.31,-0.12,-1.00,-3.94,0.06,-0.11,-0.06,0.00,0.00,1.33
6363,-4.38,91.44,-2.31,-0.12,-1.06,-4.00,0.10,-0.14,-0.05,0.00,0.00,1.30
6377,-4.31,91.44,-2.25,-0.12,-0.88,-3.88,0.12,-0.16,-0.05,0.00,0.00,1.25
6392,-4.31,91.44,-2.25,-0.06,-0.69,-3.12,0.18,-0.13,-0.06,0.00,0.00,1.25
6403,-4.25,91.44,-2.19,0.00,-0.50,-2.44,0.20,-0.16,-0.03,0.00,0.00,1.29
6416,-4.19,91.44,-2.19,-0.06,-0.50,-1.81,0.22,-0.15,-0.06,0.00,0.00,1.27
6442,-4.19,91.44,-2.12,0.06,-0.19,1.06,0.24,-0.16,-0.06,0.00,0.00,1.23
6458,-4.19,91.50,-2.12,0.06,-0.31,1.62,0.22,-0.13,-0.03,0.00,0.00,1.33
6472,-4.19,91.50,-2.19,0.12,0.19,3.75,0.22,-0.12,-0.04,0.00,0.00,1.21
6484,-4.25,91.50,-2.19,0.00,0.06,4.50,0.20,-0.14,-0.03,0.00,0.00,1.24
6498,-4.31,91.50,-2.25,0.06,0.25,5.25,0.16,-0.12,-0.04,0.00,0.00,1.23
6509,-4.38,91.50,-2.31,-0.06,0.25,6.00,0.12,-0.13,-0.02,0.00,0.00,1.31
6521,-4.44,91.50,-2.38,-0.06,0.56,6.75,0.10,-0.15,-0.03,0.00,0.00,1.22
6532,-4.56,91.50,-2.50,-0.06,0.44,7.12,0.06,-0.14,-0.01,0.00,0.00,1.24
6545,-4.62,91.50,-2.56,0.12,0.75,6.81,0.03,-0.17,-0.01,0.00,0.00,1.22
6556,-4.69,91.50,-2.62,0.12,0.75,6.69,0.00,-0.16,0.00,0.00,0.00,1.34
6571,-4.75,91.50,-2.69,0.06,0.94,6.31,-0.02,-0.17,0.00,0.00,0.00,1.35
6581,-4.81,91.50,-2.75,0.25,1.25,5.00,-0.04,-0.12,0.00,0.00,0.00,1.27
6592,-4.88,91.50,-2.75,0.12,1.44,4.31,-0.07,-0.12,0.00,0.00,0.00,1.30
6603,-4.94,91.50,-2.81,0.00,1.62,3.38,-0.09,-0.10,0.01,0.00,0.00,1.24
6631,-4.94,91.50,-2.81,0.12,1.75,1.50,-0.07,-0.13,0.02,0.00,0.00,1.29
6642,-4.94,91.50,-2.75,0.12,2.00,-0.38,-0.07,-0.14,0.01,0.00,0.00,1.23
6655,-4.94,91.50,-2.75,0.06,2.25,-1.38,0.00,-0.16,0.03,0.00,0.00,1.10
6666,-4.94,91.50,-2.69,0.06,2.31,-2.12,0.00,-0.14,0.01,0.00,0.00,1.20
6682,-4.88,91.50,-2.62,0.06,2.38,-2.81,0.02,-0.15,0.00,0.00,0.00,1.31
6693,-4.81,91.50,-2.50,0.19,2.81,-3.88,0.07,-0.12,0.00,0.00,0.00,1.24
6705,-4.81,91.50,-2.44,0.06,2.56,-4.00,0.10,-0.12,0.00,0.00,0.00,1.20
6716,-4.75,91.50,-2.38,0.25,2.88,-4.25,0.14,-0.13,0.03,0.00,0.00,1.19
6729,-4.69,91.50,-2.31,0.25,3.00,-4.12,0.18,-0.17,0.00,0.00,0.00,1.16
6741,-4.62,91.50,-2.25,0.25,3.25,-3.62,0.18,-0.19,0.02,0.00,0.00,1.25
6752,-4.62,91.50,-2.12,0.38,3.12,-3.00,0.20,-0.16,0.02,0.00,0.00,1.31
6762,-4.56,91.50,-2.00,0.19,3.44,-2.38,0.24,-0.12,0.02,0.00,0.00,1.24
6772,-4.50,91.50,-1.94,0.31,3.44,-1.56,0.24,-0.13,0.01,0.00,0.00,1.26
6783,-4.50,91.50,-1.94,0.31,3.31,-0.81,0.24,-0.14,0.01,0.00,0.00,1.21
6793,-4.50,91.50,-1.88,0.31,3.31,-0.06,0.25,-0.15,0.02,0.00,0.00,1.26
6824,-4.50,91.50,-1.81,0.44,3.44,1.75,0.20,-0.14,0.03,0.00,0.00,1.28
6835,-4.56,91.50,-1.75,0.25,3.50,3.38,0.18,-0.13,0.02,0.00,0.00,1.31
6848,-4.56,91.50,-1.75,0.31,3.44,3.94,0.14,-0.11,0.04,0.00,0.00,1.25
6858,-4.62,91.50,-1.75,0.31,3.69,4.44,0.11,-0.12,0.05,0.00,0.00,1.32
6872,-4.62,91.50,-1.81,0.31,3.50,4.94,0.07,-0.15,0.03,0.00,0.00,1.37
6883,-4.69,91.56,-1.81,0.38,3.69,5.25,0.00,-0.17,0.02,0.00,0.00,1.36
6894,-4.81,91.56,-1.81,0.25,3.62,5.25,-0.01,-0.17,0.03,0.00,0.00,1.44
6907,-4.88,91.56,-1.81,0.38,3.56,4.94,-0.01,-0.16,0.05,0.00,0.00,1.38
6919,-4.88,91.56,-1.88,0.31,3.56,4.62,-0.04,-0.14,0.04,0.00,0.00,1.37
6934,-4.94,91.56,-1.88,0.38,3.69,4.12,-0.09,-0.11,0.02,0.00,0.00,1.40
6945,-5.00,91.56,-1.81,0.38,3.94,2.62,-0.10,-0.12,0.04,0.00,0.00,1.40
6956,-5.00,91.56,-1.81,0.44,3.94,1.81,-0.12,-0.13,0.02,0.00,0.00,1.36
6967,-5.00,91.56,-1.81,0.44,4.06,0.94,-0.11,-0.09,0.04,0.00,0.00,1.36
6980,-5.00,91.56,-1.75,0.25,3.94,0.00,-0.12,-0.12,0.06,0.00,0.00,1.33
