Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
6107,-2.62,2.38,-0.12,-0.06,0.00,1.19,-0.07,-0.01,-0.20,0.00,0.00,0.63
6114,-2.62,2.38,-0.12,-0.19,0.06,1.19,-0.08,-0.04,-0.23,0.00,0.00,0.62
6125,-2.62,2.38,-0.12,-0.12,-0.06,1.25,-0.05,-0.02,-0.23,0.00,0.00,0.62
6133,-2.62,2.38,-0.12,-0.25,-0.06,1.25,-0.07,-0.05,-0.29,0.00,0.00,0.63
6144,-2.62,2.38,-0.12,-0.25,-0.06,1.25,-0.06,-0.05,-0.26,0.00,0.00,0.62
6153,-2.62,2.38,-0.19,-0.12,0.00,1.56,-0.07,-0.02,-0.23,0.00,0.00,0.63
6163,-2.62,2.38,-0.19,-0.12,0.00,1.56,-0.06,-0.03,-0.22,0.00,0.00,0.64
6170,-2.62,2.38,-0.19,-0.19,0.06,1.38,-0.06,-0.03,-0.22,0.00,0.00,0.63
6179,-2.62,2.38,-0.19,-0.06,-0.25,1.44,-0.04,-0.02,-0.22,0.00,0.00,0.62
6188,-2.62,2.38,-0.25,-0.12,0.12,1.69,-0.03,-0.04,-0.21,0.00,0.00,0.63
6197,-2.62,2.38,-0.25,0.00,0.06,1.62,-0.01,-0.04,-0.28,0.00,0.00,0.63
6204,-2.62,2.38,-0.25,0.00,0.06,1.81,-0.02,-0.03,-0.25,0.00,0.00,0.63
6213,-2.62,2.38,-0.25,0.00,0.06,1.81,0.00,0.00,-0.26,0.00,0.00,0.64
6951,-3.19,2.31,-1.75,0.00,0.12,1.12,-0.09,0.13,-0.22,0.00,0.00,0.61
6960,-3.19,2.31,-1.75,-0.06,0.12,1.25,-0.06,0.09,-0.22,0.00,0.00,0.62
6969,-3.19,2.31,-1.75,-0.06,0.12,1.25,-0.07,0.10,-0.25,0.00,0.00,0.63
6981,-3.19,2.31,-1.75,-0.19,-0.19,1.19,-0.07,0.10,-0.25,0.00,0.00,0.61
6989,-3.19,2.31,-1.75,-0.19,-0.31,1.06,-0.06,0.10,-0.25,0.00,0.00,0.62
7001,-3.19,2.31,-1.75,-0.19,-0.31,1.06,-0.05,0.10,-0.25,0.00,0.00,0.61
7009,-3.19,2.31,-1.75,-0.06,-0.62,0.94,-0.08,0.07,-0.25,0.00,0.00,0.61
7021,-3.19,2.31,-1.81,-0.06,-0.62,0.94,-0.07,0.08,-0.23,0.00,0.00,0.62
7030,-3.19,2.31,-1.81,-0.06,-0.88,0.88,-0.07,0.08,-0.22,0.00,0.00,0.62
7039,-3.19,2.31,-1.81,-0.06,-0.88,0.88,-0.09,0.08,-0.24,0.00,0.00,0.62
7049,-3.19,2.31,-1.81,-0.12,-0.88,0.75,-0.06,0.11,-0.25,0.00,0.00,0.62
7059,-3.12,2.31,-1.81,0.06,-1.00,0.75,-0.06,0.06,-0.24,0.00,0.00,0.60
7069,-3.12,2.31,-1.81,0.00,-1.25,0.81,-0.09,0.06,-0.22,0.00,0.00,0.60
7078,-3.12,2.31,-1.81,-0.06,-1.31,0.56,-0.09,0.06,-0.22,0.00,0.00,0.62
7085,-3.12,2.31,-1.81,-0.06,-1.38,0.56,-0.08,0.10,-0.20,0.00,0.00,0.61
7119,-3.06,2.31,-1.81,-0.06,-1.50,0.38,-0.04,0.06,-0.23,0.00,0.00,0.62
7127,-3.06,2.31,-1.81,0.00,-1.69,0.31,-0.04,0.06,-0.26,0.00,0.00,0.61
7135,-3.06,2.31,-1.81,0.00,-1.62,0.19,-0.05,0.05,-0.25,0.00,0.00,0.63
7142,-3.00,2.31,-1.81,-0.06,-1.56,0.12,-0.04,0.04,-0.21,0.00,0.00,0.61
7152,-3.00,2.31,-1.81,0.00,-1.75,0.25,-0.03,0.06,-0.24,0.00,0.00,0.61
7161,-3.00,2.31,-1.81,-0.12,-1.62,-0.06,-0.02,0.07,-0.22,0.00,0.00,0.62
7173,-3.00,2.31,-1.81,-0.12,-1.62,-0.06,-0.05,0.04,-0.22,0.00,0.00,0.63
7180,-3.00,2.31,-1.81,0.12,-1.69,0.12,-0.01,0.03,-0.23,0.00,0.00,0.63
7190,-2.94,2.31,-1.81,-0.19,-1.56,0.00,-0.01,0.03,-0.23,0.00,0.00,0.61
7200,-2.94,2.31,-1.81,-0.19,-1.62,0.00,-0.01,0.05,-0.26,0.00,0.00,0.62
7212,-2.94,2.31,-1.81,0.12,-1.44,-0.12,-0.02,0.06,-0.27,0.00,0.00,0.62
7221,-2.94,2.31,-1.81,-0.06,-1.62,-0.06,-0.01,0.03,-0.22,0.00,0.00,0.62
7231,-2.88,2.31,-1.81,0.06,-1.69,-0.19,-0.01,0.03,-0.22,0.00,0.00,0.62
7238,-2.88,2.31,-1.81,0.12,-1.56,-0.25,-0.02,0.06,-0.19,0.00,0.00,0.63
7273,-2.81,2.31,-1.81,0.00,-1.62,-0.44,-0.02,0.03,-0.22,0.00,0.00,0.63
7282,-2.81,2.31,-1.81,-0.12,-1.25,-0.62,-0.02,0.00,-0.25,0.00,0.00,0.62
7293,-2.81,2.31,-1.81,-0.12,-1.25,-0.62,-0.01,0.03,-0.21,0.00,0.00,0.64
7302,-2.81,2.31,-1.81,0.06,-1.25,-0.75,-0.04,0.00,-0.24,0.00,0.00,0.63
7314,-2.75,2.31,-1.81,0.06,-1.25,-0.75,-0.06,0.00,-0.21,0.00,0.00,0.63
7323,-2.75,2.31,-1.81,0.12,-1.25,-0.69,-0.04,0.00,-0.23,0.00,0.00,0.62
7336,-2.75,2.31,-1.81,0.12,-1.25,-0.69,-0.05,-0.01,-0.22,0.00,0.00,0.62
7344,-2.75,2.31,-1.81,0.12,-1.12,-0.94,-0.05,0.01,-0.23,0.00,0.00,0.62
7352,-2.75,2.31,-1.81,0.12,-1.25,-0.88,-0.07,0.00,-0.25,0.00,0.00,0.63
7363,-2.75,2.31,-1.75,0.12,-1.25,-0.88,-0.07,0.00,-0.27,0.00,0.00,0.62
7372,-2.69,2.31,-1.75,-0.06,-1.25,-1.06,-0.07,0.00,-0.25,0.00,0.00,0.62
7381,-2.69,2.31,-1.75,0.00,-1.19,-1.12,-0.07,0.00,-0.25,0.00,0.00,0.63
7391,-2.69,2.31,-1.75,0.06,-1.00,-1.12,-0.08,-0.02,-0.24,0.00,0.00,0.62
7401,-2.69,2.31,-1.75,0.12,-1.00,-1.19,-0.09,0.00,-0.24,0.00,0.00,0.63
7449,-2.62,2.31,-1.69,-0.06,-1.31,-1.44,-0.12,-0.06,-0.24,0.00,0.00,0.63
7459,-2.62,2.31,-1.62,0.00,-1.31,-1.56,-0.10,-0.02,-0.23,0.00,0.00,0.62
7467,-2.56,2.31,-1.62,0.00,-1.06,-1.50,-0.11,-0.04,-0.22,0.00,0.00,0.62
7474,-2.56,2.31,-1.62,-0.12,-1.12,-1.69,-0.10,-0.04,-0.23,0.00,0.00,0.62
7483,-2.56,2.31,-1.62,-0.12,-1.12,-1.69,-0.10,-0.04,-0.23,0.00,0.00,0.63
7490,-2.56,2.31,-1.62,0.06,-1.31,-1.69,-0.09,-0.03,-0.28,0.00,0.00,0.62
7500,-2.56,2.31,-1.56,-0.06,-1.38,-1.62,-0.12,-0.03,-0.26,0.00,0.00,0.63
7508,-2.56,2.31,-1.56,0.06,-1.44,-1.81,-0.11,0.00,-0.25,0.00,0.00,0.62
7515,-2.50,2.31,-1.56,0.00,-1.31,-1.75,-0.13,-0.01,-0.21,0.00,0.00,0.64
7524,-2.50,2.31,-1.56,-0.06,-1.38,-1.75,-0.11,-0.03,-0.26,0.00,0.00,0.62
7531,-2.50,2.31,-1.56,-0.06,-1.38,-1.75,-0.11,-0.03,-0.26,0.00,0.00,0.62
7538,-2.50,2.31,-1.50,0.12,-1.50,-1.75,-0.10,-0.05,-0.25,0.00,0.00,0.63
7545,-2.50,2.31,-1.50,0.06,-1.31,-1.75,-0.10,-0.04,-0.24,0.00,0.00,0.63
7554,-2.50,2.31,-1.50,0.12,-1.38,-1.81,-0.10,-0.05,-0.23,0.00,0.00,0.63
7585,-2.44,2.31,-1.44,0.00,-1.38,-2.00,-0.08,-0.06,-0.25,0.00,0.00,0.62
7593,-2.44,2.31,-1.44,0.00,-1.19,-1.94,-0.08,-0.06,-0.25,0.00,0.00,0.62
7605,-2.44,2.31,-1.44,0.00,-1.19,-1.94,-0.08,-0.04,-0.24,0.00,0.00,0.62
7614,-2.38,2.31,-1.38,0.06,-1.31,-2.06,-0.06,-0.02,-0.22,0.00,0.00,0.62
7625,-2.38,2.31,-1.38,0.06,-1.31,-2.06,-0.05,-0.06,-0.24,0.00,0.00,0.63
7633,-2.38,2.31,-1.38,0.00,-1.25,-2.06,-0.05,-0.06,-0.24,0.00,0.00,0.62
7640,-2.38,2.31,-1.31,0.00,-0.94,-2.12,-0.05,-0.05,-0.24,0.00,0.00,0.65
7647,-2.38,2.31,-1.31,0.00,-0.94,-2.12,-0.05,-0.05,-0.26,0.00,0.00,0.63
7656,-2.38,2.31,-1.31,0.12,-1.00,-2.19,-0.06,-0.02,-0.24,0.00,0.00,0.61
