Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,cP,cR,cYI
141182304,-3.50,6.88,0.62,0.06,-1.88,4.75,-1.53,0.29,0.92,2.50,5.60,0.63,0.00,1.88,-0.00
141192309,-3.56,6.88,0.69,-0.56,0.06,4.00,-1.46,2.27,0.88,2.50,5.60,0.61,0.00,-0.06,-0.00
141204191,-3.50,6.88,0.75,-0.56,1.06,4.25,0.13,-1.46,1.52,2.50,5.60,0.63,0.00,-1.06,-0.00
141215255,-3.56,6.88,0.75,-1.69,-1.06,4.25,1.94,-0.91,1.79,2.50,5.60,0.62,0.00,1.06,-0.00
141225258,-3.56,6.94,0.81,-3.62,-3.81,5.19,2.87,-1.59,1.80,2.50,5.60,0.62,0.00,3.81,-0.00
141235260,-3.69,6.94,0.88,-3.69,-7.38,4.31,1.71,-0.61,1.30,2.50,5.60,0.62,0.00,7.38,-0.00
141246787,-3.75,7.00,0.88,-3.00,-12.00,0.00,1.42,-0.92,1.64,2.50,5.60,0.66,0.00,12.00,0.00
141257931,-3.94,7.06,0.81,-4.12,-16.31,-2.75,1.58,1.29,1.47,2.50,5.60,0.58,0.00,16.31,0.00
141269620,-4.12,7.06,0.75,-4.25,-19.25,-3.50,1.58,1.29,1.47,2.50,5.60,0.57,0.00,19.25,0.00
141279624,-4.31,7.12,0.69,-3.44,-22.44,-4.75,0.59,-0.30,1.54,2.50,5.60,0.57,0.00,22.44,0.00
141292669,-4.81,7.19,0.56,-1.56,-25.12,-6.25,0.48,2.00,0.89,2.50,5.60,0.57,0.00,25.12,0.00
141303567,-5.00,7.19,0.50,0.56,-25.75,-5.75,0.35,-0.01,1.36,2.50,5.60,0.58,0.00,25.75,0.00
141313571,-5.25,7.19,0.44,1.25,-26.00,-4.75,-0.32,0.54,1.33,2.50,5.60,0.58,0.00,26.00,0.00
141323574,-5.50,7.19,0.38,2.44,-24.88,-4.44,-0.89,1.71,1.16,2.50,5.60,0.58,0.00,24.88,0.00
141333578,-5.75,7.12,0.31,3.56,-24.12,-4.31,-0.24,-0.24,1.85,2.50,5.60,0.58,0.00,24.12,0.00
141343582,-5.94,7.12,0.25,3.38,-23.69,-3.88,-0.26,0.62,1.91,2.50,5.60,0.59,0.00,23.69,0.00
141355150,-6.19,7.06,0.19,3.44,-23.00,-3.75,-1.25,0.41,1.98,2.50,5.60,0.58,0.00,23.00,0.00
