Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,cP,cR,cYI
94772248,-3.06,6.94,0.00,0.19,0.75,0.12,-0.10,0.00,-0.11,2.50,5.60,0.62,0.00,0.00,-0.12
94782980,-3.06,6.94,0.00,0.44,0.62,0.00,0.41,-0.19,-0.07,2.50,5.60,0.59,0.00,0.00,0.002
94795993,-3.06,6.94,0.00,-0.19,0.38,0.06,0.51,-0.17,-0.09,2.50,5.60,0.63,0.00,0.00,-0.06
94805996,-3.06,6.94,0.00,-0.19,-0.06,-0.06,0.52,-0.07,-0.09,2.50,5.60,0.59,0.00,0.00,0.06
94818308,-3.06,6.94,0.00,-0.31,-0.62,0.06,0.30,0.04,-0.14,2.50,5.60,0.60,0.00,0.00,-0.06
94828313,-3.06,6.94,0.00,-0.06,-0.81,-0.12,-0.19,0.14,-0.15,2.50,5.60,0.62,0.00,0.00,0.12
94840986,-3.06,6.94,0.00,0.19,-0.75,0.06,-0.42,0.08,-0.13,2.50,5.60,0.61,0.00,0.00,-0.06
94850990,-3.06,6.94,0.00,0.12,-0.31,-0.06,-0.52,0.00,-0.11,2.50,5.60,0.56,0.00,0.00,0.06
94863923,-3.06,6.94,0.00,0.19,0.25,0.00,0.10,-0.09,-0.10,2.50,5.60,0.55,0.00,0.00,0.0006
94874017,-3.06,6.94,0.00,-0.06,0.62,-0.06,0.32,-0.04,-0.12,2.50,5.60,0.54,0.00,0.00,0.06
94885763,-3.06,6.94,0.00,-0.25,0.50,0.00,0.52,0.03,-0.13,2.50,5.60,0.57,0.00,0.00,0.006
94895767,-3.06,6.94,0.00,0.00,-0.06,0.12,0.50,0.05,-0.14,2.50,5.60,0.55,0.00,0.00,-0.12
94905772,-3.06,6.94,0.00,0.19,-0.75,0.06,0.14,-0.05,-0.12,2.50,5.60,0.54,0.00,0.00,-0.06
94919268,-3.06,6.94,0.00,0.19,-0.81,-0.06,-0.16,-0.06,-0.10,2.50,5.60,0.53,0.00,0.00,0.06
94931745,-3.06,6.94,0.00,0.00,-0.88,0.06,-0.36,-0.10,-0.11,2.50,5.60,0.57,0.00,0.00,-0.06
94943270,-3.06,6.94,0.00,-0.12,-0.19,0.06,-0.25,0.06,-0.15,2.50,5.60,0.57,0.00,0.00,-0.06
94956762,-3.06,6.94,0.00,0.00,0.69,0.00,0.00,0.10,-0.17,2.50,5.60,0.56,0.00,0.00,0.00.06
94966765,-3.06,6.94,0.00,0.12,0.69,-0.06,0.24,0.05,-0.15,2.50,5.60,0.55,0.00,0.00,0.0606
94978983,-3.06,6.94,0.00,0.38,0.25,-0.12,0.51,-0.07,-0.12,2.50,5.60,0.54,0.00,0.00,0.126
94988987,-3.06,6.94,0.00,0.25,-0.06,0.12,0.41,-0.14,-0.08,2.50,5.60,0.55,0.00,0.00,-0.12
94998992,-3.06,6.94,0.00,-0.19,-0.56,-0.06,0.17,-0.17,-0.07,2.50,5.60,0.56,0.00,0.00,0.06
95008995,-3.06,6.94,0.00,-0.19,-0.81,-0.06,0.00,-0.04,-0.08,2.50,5.60,0.55,0.00,0.00,0.06
95020503,-3.06,6.94,0.00,-0.31,-0.69,0.06,-0.37,0.16,-0.17,2.50,5.60,0.56,0.00,0.00,-0.06
95032331,-3.06,6.94,0.00,-0.06,-0.31,0.00,-0.47,0.21,-0.18,2.50,5.60,0.55,0.00,0.00,0.00
95044227,-3.06,6.94,0.00,0.06,0.31,0.06,-0.11,0.03,-0.13,2.50,5.60,0.54,0.00,0.00,-0.06
95054369,-3.06,6.94,0.00,0.25,0.62,0.00,0.37,-0.17,-0.11,2.50,5.60,0.57,0.00,0.00,0.00
95064666,-3.06,6.94,0.00,0.38,0.75,-0.06,0.46,-0.18,-0.10,2.50,5.60,0.54,0.00,0.00,0.06
95074670,-3.06,6.94,0.00,-0.06,0.50,0.00,0.39,-0.11,-0.09,2.50,5.60,0.55,0.00,0.00,0.00
95086480,-3.06,6.94,0.00,-0.12,-0.56,0.06,0.33,0.00,-0.12,2.50,5.60,0.57,0.00,0.00,-0.06
95096482,-3.06,6.94,0.00,-0.12,-0.88,-0.06,-0.16,0.15,-0.14,2.50,5.60,0.55,0.00,0.00,0.06
95108920,-3.06,6.94,0.00,-0.06,-0.75,-0.12,-0.37,0.09,-0.13,2.50,5.60,0.55,0.00,0.00,0.12
95118923,-3.06,6.94,0.00,0.19,-0.31,0.06,-0.43,0.06,-0.14,2.50,5.60,0.53,0.00,0.00,-0.06
95129336,-3.06,6.94,0.00,0.25,0.06,0.12,-0.35,0.00,-0.12,2.50,5.60,0.57,0.00,0.00,-0.12
95139339,-3.06,6.94,0.00,0.12,0.56,-0.06,0.03,-0.02,-0.12,2.50,5.60,0.57,0.00,0.00,0.06
95151171,-3.06,6.94,0.00,-0.06,0.81,0.00,0.33,-0.09,-0.09,2.50,5.60,0.55,0.00,0.00,0.00
95162861,-3.06,6.94,0.00,-0.06,0.38,-0.12,0.48,-0.02,-0.12,2.50,5.60,0.53,0.00,0.00,0.12
