Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,cP,cR,cYI
162237014,-1.31,4.19,3.88,-6.75,-2.19,-5.06,-2.21,-0.85,-0.05,2.50,5.60,1.16,6.75,0.00,0.00
162247017,-1.31,4.25,3.88,-8.44,0.75,-4.56,-1.68,-1.60,-0.18,2.50,5.60,1.16,8.44,0.00,0.00
162257021,-1.31,4.31,3.81,-8.44,0.75,-4.56,-1.25,-1.02,-0.61,2.50,5.60,1.16,8.44,0.00,0.00
162267026,-1.31,4.44,3.75,-11.81,6.06,-4.94,-1.19,0.41,-0.38,2.50,5.60,1.16,11.81,0.00,0.00
162277030,-1.25,4.56,3.69,-11.69,8.25,-4.00,-1.31,-0.26,-0.40,2.50,5.60,1.16,11.69,0.00,0.00
162287034,-1.12,4.69,3.69,-12.75,11.19,-3.19,0.04,0.59,-0.80,2.50,5.60,1.16,12.75,0.00,0.00
162297122,-1.00,4.81,3.62,-12.31,12.88,-2.62,-0.78,-0.39,-0.44,2.50,5.60,1.17,12.31,0.00,0.00
162307125,-0.88,4.94,3.62,-12.31,12.88,-2.62,-1.19,-0.67,-0.31,2.50,5.60,1.18,12.31,0.00,0.00
162317128,-0.75,5.06,3.62,-12.44,14.75,-0.31,-0.13,0.67,-0.64,2.50,5.60,1.18,12.44,0.00,0.00
162327131,-0.62,5.19,3.69,-12.25,17.81,1.19,-0.42,0.10,-0.43,2.50,5.60,1.18,12.25,0.00,-0.00
162337134,-0.44,5.31,3.69,-11.50,18.56,2.25,-0.83,0.45,-0.50,2.50,5.60,1.18,11.50,0.00,-0.00
162347137,-0.25,5.38,3.69,-10.88,19.50,2.25,-0.40,1.17,-0.78,2.50,5.60,1.18,10.88,0.00,-0.00
162357141,-0.06,5.50,3.75,-10.88,19.50,2.25,0.74,0.39,-0.45,2.50,5.60,1.18,10.88,0.00,-0.00
162367144,0.06,5.56,3.75,-9.00,19.44,1.31,0.35,0.41,-0.34,2.50,5.60,1.18,9.00,0.00,-0.0000
162377147,0.25,5.69,3.81,-7.00,18.31,1.56,0.75,0.49,-0.30,2.50,5.60,1.18,7.00,0.00,-0.0000
162387151,0.44,5.75,3.81,-5.81,16.75,0.75,1.28,0.05,-0.16,2.50,5.60,1.18,5.81,0.00,-0.0000
162397155,0.56,5.81,3.81,-5.38,15.44,0.31,0.97,0.54,-0.54,2.50,5.60,1.18,5.38,0.00,-0.0000
162407160,0.75,5.88,3.81,-5.38,15.44,0.31,1.25,0.53,-0.41,2.50,5.60,1.18,5.38,0.00,-0.0000
162417163,0.88,5.88,3.81,-4.75,13.81,0.12,0.93,0.56,-0.41,2.50,5.60,1.18,4.75,0.00,-0.0000
162427167,1.00,5.94,3.81,-2.31,9.94,-1.25,1.74,0.72,-0.40,2.50,5.60,1.18,2.31,0.00,0.0000
162437170,1.06,5.94,3.81,-0.81,8.12,-0.50,1.43,0.75,-0.30,2.50,5.60,1.18,0.81,0.00,0.0000
162447175,1.12,5.94,3.81,0.75,5.88,-0.88,1.19,0.49,-0.15,2.50,5.60,1.19,-0.75,0.00,0.0000
162457841,1.19,5.94,3.81,0.75,5.88,-0.88,1.43,0.38,-0.04,2.50,5.60,1.19,-0.75,0.00,0.0000
162467843,1.25,5.94,3.81,3.12,1.62,-2.50,1.50,0.20,0.02,2.50,5.60,1.19,-3.12,0.00,0.0000
162477847,1.25,5.88,3.81,3.75,-0.75,-3.00,1.00,-0.28,0.13,2.50,5.60,1.19,-3.75,0.00,0.0000
162487850,1.25,5.88,3.75,3.88,-3.06,-4.19,1.21,-0.42,0.12,2.50,5.60,1.19,-3.88,0.00,0.0000
162497852,1.25,5.81,3.75,3.69,-4.94,-4.06,1.62,-0.54,0.11,2.50,5.60,1.21,-3.69,0.00,0.0000
162508400,1.19,5.81,3.69,3.25,-6.94,-2.94,1.19,-0.49,0.09,2.50,5.60,1.21,-3.25,0.00,0.0000
162518403,1.12,5.75,3.62,2.88,-8.94,-2.25,1.20,-0.46,0.09,2.50,5.60,1.21,-2.88,0.00,0.0000
162529901,0.94,5.69,3.62,2.56,-10.94,-1.88,1.56,-0.14,0.05,2.50,5.60,1.21,-2.56,0.00,0.000
162539914,0.81,5.69,3.56,2.50,-12.94,-1.69,1.12,-0.06,0.10,2.50,5.60,1.21,-2.50,0.00,0.000
162550707,0.69,5.62,3.56,2.38,-14.75,-1.56,0.88,-0.27,0.08,2.50,5.60,1.22,-2.38,0.00,0.000
162560709,0.50,5.62,3.50,2.00,-15.62,-1.75,1.14,-0.08,-0.10,2.50,5.60,1.21,-2.00,0.00,0.00
162570757,0.38,5.62,3.50,1.69,-16.88,-1.94,0.62,-0.05,-0.15,2.50,5.60,1.21,-1.69,0.00,0.00
162580761,0.19,5.62,3.50,1.81,-17.81,-1.50,0.25,-0.24,-0.16,2.50,5.60,1.21,-1.81,0.00,0.00
162590977,0.00,5.56,3.44,1.44,-17.75,-1.19,0.21,-0.30,-0.20,2.50,5.60,1.22,-1.44,0.00,0.00
162600981,-0.06,5.56,3.44,1.25,-17.94,-0.88,-0.10,-0.38,-0.15,2.50,5.60,1.22,-1.25,0.00,0.00
162610985,-0.25,5.56,3.44,0.81,-17.69,-0.69,-0.45,-0.42,-0.14,2.50,5.60,1.21,-0.81,0.00,0.00
162620989,-0.44,5.56,3.44,0.25,-17.12,-0.94,-0.21,-0.32,-0.17,2.50,5.60,1.22,-0.25,0.00,0.00
162631269,-0.56,5.56,3.38,-0.19,-16.44,-1.50,-0.05,-0.20,-0.21,2.50,5.60,1.22,0.19,0.00,0.00
162641271,-0.75,5.56,3.38,-0.44,-15.81,-1.88,-0.55,-0.07,-0.19,2.50,5.60,1.22,0.44,0.00,0.00
162653909,-0.88,5.56,3.31,-0.31,-15.06,-2.44,-0.52,-0.11,-0.20,2.50,5.60,1.23,0.31,0.00,0.00
162666376,-1.00,5.56,3.31,-0.44,-13.81,-2.75,-0.45,-0.09,-0.18,2.50,5.60,1.22,0.44,0.00,0.00
162676381,-1.12,5.56,3.25,-0.38,-13.12,-2.56,-0.64,-0.19,0.04,2.50,5.60,1.22,0.38,0.00,0.00
162686837,-1.25,5.56,3.25,-0.31,-12.12,-2.38,-0.49,-0.06,0.10,2.50,5.60,1.22,0.31,0.00,0.00
162701191,-1.44,5.56,3.19,-0.69,-10.06,-1.94,-0.38,0.09,0.11,2.50,5.60,1.23,0.69,0.00,0.00
162711194,-1.56,5.56,3.19,-0.56,-9.31,-2.00,-0.39,0.22,0.07,2.50,5.60,1.23,0.56,0.00,0.00
162721197,-1.62,5.56,3.12,-0.06,-8.62,-2.56,-0.36,0.56,-0.05,2.50,5.60,1.22,0.06,0.00,0.00
162731201,-1.69,5.56,3.12,0.56,-8.00,-3.31,-0.32,0.54,-0.08,2.50,5.60,1.22,-0.56,0.00,0.00
162741205,-1.81,5.56,3.06,1.56,-7.50,-4.12,-0.19,0.45,-0.10,2.50,5.60,1.22,-1.56,0.00,0.00
162751208,-1.88,5.56,3.00,2.44,-7.12,-4.50,-0.14,0.35,-0.09,2.50,5.60,1.23,-2.44,0.00,0.00
162761210,-1.94,5.50,2.94,2.81,-6.81,-4.50,0.01,0.06,-0.08,2.50,5.60,1.23,-2.81,0.00,0.00
162771214,-2.00,5.50,2.94,3.25,-6.75,-4.00,0.10,-0.10,-0.01,2.50,5.60,1.23,-3.25,0.00,0.00
162781217,-2.00,5.44,2.88,3.25,-6.44,-3.81,0.10,-0.07,0.02,2.50,5.60,1.23,-3.25,0.00,0.00
162791221,-2.06,5.44,2.81,2.94,-6.31,-3.56,0.19,-0.07,0.08,2.50,5.60,1.23,-2.94,0.00,0.00
162801224,-2.12,5.44,2.81,2.88,-6.44,-3.00,0.18,0.06,-0.02,2.50,5.60,1.23,-2.88,0.00,0.00
162811228,-2.19,5.38,2.75,3.06,-6.44,-2.69,0.10,0.19,-0.15,2.50,5.60,1.23,-3.06,0.00,0.00
162821247,-2.25,5.38,2.75,3.12,-6.44,-2.19,0.19,0.33,-0.30,2.50,5.60,1.24,-3.12,0.00,0.00
162832670,-2.31,5.31,2.75,3.44,-6.50,-2.00,0.38,0.36,-0.40,2.50,5.60,1.23,-3.44,0.00,0.00
162842673,-2.38,5.25,2.69,4.12,-6.81,-1.06,0.31,0.30,-0.52,2.50,5.60,1.23,-4.12,0.00,0.00
162852677,-2.44,5.25,2.69,4.62,-7.38,-1.19,0.36,0.15,-0.38,2.50,5.60,1.23,-4.62,0.00,0.00
162862681,-2.56,5.19,2.69,4.94,-7.88,-0.94,0.57,-0.06,-0.24,2.50,5.60,1.23,-4.94,0.00,0.00
162872685,-2.62,5.12,2.69,5.06,-8.50,-0.88,0.75,-0.24,-0.18,2.50,5.60,1.23,-5.06,0.00,0.00
162882688,-2.69,5.06,2.69,4.94,-9.62,-0.75,0.59,-0.27,-0.21,2.50,5.60,1.23,-4.94,0.00,0.00
162892690,-2.81,5.06,2.62,4.56,-10.31,-0.62,0.86,0.12,-0.34,2.50,5.60,1.25,-4.56,0.00,0.00
162902692,-2.94,5.00,2.62,4.31,-11.06,-0.44,0.90,0.28,-0.50,2.50,5.60,1.24,-4.31,0.00,0.00
162912696,-3.06,4.94,2.62,4.69,-12.12,-0.69,0.53,0.14,-0.73,2.50,5.60,1.24,-4.69,0.00,0.00
162922699,-3.19,4.94,2.62,5.12,-13.31,-1.25,0.42,0.13,-0.69,2.50,5.60,1.25,-5.12,0.00,0.00
